 n, m, n-m, OurCalcRadiPolyIter, OurCalcRadiPolyRecu, PriPrataRusch1989, OurPrataRusch2022, PriShakiParam2013, OurShakiParam2022
 29,  29,   0, 1.000000000e-01, 1.000000000e-01, 9.968600000e+03, 0.000000000e+00, 4.000000000e-01, 0.000000000e+00
 29,  27,   2, 0.000000000e+00, 1.000000000e-01, 7.856200000e+03, 0.000000000e+00, 8.700000000e+00, 1.000000000e-01
 29,  25,   4, 1.000000000e-01, 1.000000000e-01, 7.876500000e+03, 1.700000000e+00, 1.372000000e+02, 2.200000000e+00
 29,  23,   6, 1.000000000e-01, 2.000000000e-01, 7.882300000e+03, 1.520000000e+01, 1.530300000e+03, 4.350000000e+01
 29,  21,   8, 1.000000000e-01, 5.000000000e-01, 7.902600000e+03, 9.910000000e+01, 1.272400000e+04, 5.997000000e+02
 29,  19,  10, 1.000000000e-01, 1.000000000e+00, 7.883400000e+03, 4.360000000e+02, 8.164660000e+04, 5.800300000e+03
 29,  17,  12, 2.000000000e-01, 1.900000000e+00, 7.899700000e+03, 1.359900000e+03, 4.152260000e+05, 4.151050000e+04
 29,  15,  14, 3.000000000e-01, 3.800000000e+00, 7.884400000e+03, 3.113500000e+03, 1.689122000e+06, 2.285627000e+05
 29,  13,  16, 4.000000000e-01, 7.500000000e+00, 7.886400000e+03, 5.437400000e+03, 5.671958600e+06, 9.940523000e+05
 29,  11,  18, 4.000000000e-01, 1.450000000e+01, 7.908700000e+03, 7.492800000e+03, 1.567807080e+07, 3.408972300e+06
 29,   9,  20, 5.000000000e-01, 2.830000000e+01, 7.908300000e+03, 8.651500000e+03, 3.596265420e+07, 9.405204600e+06
 29,   7,  22, 5.000000000e-01, 5.650000000e+01, 7.912400000e+03, 8.981500000e+03, 6.919852890e+07, 2.092143540e+07
 29,   5,  24, 6.000000000e-01, 1.109000000e+02, 7.902100000e+03, 9.022000000e+03, 1.120778577e+08, 3.805379330e+07
 29,   3,  26, 7.000000000e-01, 2.162000000e+02, 7.902500000e+03, 9.010800000e+03, 1.545315949e+08, 5.677341330e+07
 29,   1,  28, 6.000000000e-01, 4.115000000e+02, 7.906000000e+03, 9.017500000e+03, 1.813069976e+08, 6.924877910e+07
